RestaurantName,URL,Rewards,Rewards Signup,Gift Cards,Find Card,Online Order
Pizzeria Angie's,http://www.PizzeriaAngies.com,,,,,https://www.toasttab.com/angies-pizza-of-north-royalton/v2/online-order#!/
El Rey Cuban & Mexican Cuisine,https://www.elreytaqueria.com/,,,,,https://www.toasttab.com/el-rey-taqueria-bunker-hill/v2/online-order#!/
Kitchen Social,https://ourkitchensocial.com/,,,https://www.toasttab.com/kitchen-social/giftcards,,
Post Oak BBQ,http://www.postoakdenver.com,,,,,
Fireside Grill,http://www.firesidegrillaz.com,,,,,
True Bistro,http://www.truebistroboston.com,,,,,
Little Lois Cafe,http://www.LittleLois.com,,,,,
27 Bar + Kitchen,https://www.27bar.kitchen,,,,,
Cafe 27,http://www.cafe27topanga.com,,,,,
Superior Grill,https://superiorgrill.com/,,,,,
Foundry Bar & Grill,http://www.foundryej.com,,,,,
Spalding's Bakery,http://spaldingsbakery.com,,,,,
SOL Pie Pizza,http://www.solpiepizza.com,,,,,https://www.toasttab.com/sol-pie-pizza/v2/online-order#!/u
Nara Thai,http://naradining.com/,,,,,
Hello Hookah Delivery & Pickup,https://www.hhookahdelivery.com/,,,,,https://www.toasttab.com/hello-hookah-delivery-pickup/v2/online-order#!/
Bombay Pizza Company,http://www.bombaypizzaco.com,,,,,https://www.toasttab.com/bombay-pizza/v2/online-order
Harry Caray's,https://harrycarays.com,,,,,
The Verandah at Broadway Market,http://www.theverandahkitchen.com,,,,,"{""imageData"":{""type"":""Image"",""id"":""dataItem-k55ov71w"",""metaData"":{""pageId"":""c1dmp"",""isPreset"":false,""schemaVersion"":""1.0"",""isHidden"":false},""title"":"""",""uri"":""7b1009_ef1a8eb94bf644a4bd735879f1ce2a11~mv2.jpg"",""description"":"""",""width"":555,""height"":129,""alt"":""Broadway Order Take-out.jpg"",""name"":""Broadway Order Take-out.jpg"",""link"":{""type"":""ExternalLink"",""id"":""dataItem-k55ownsz"",""metaData"":{""pageId"":""c1dmp"",""isPreset"":false,""schemaVersion"":""1.0"",""isHidden"":false},""url"":""https://www.toasttab.com/the-verandah-baltimore/v2/online-order#!/"",""target"":""_blank""},""displayMode"":""fill""},""containerId"":""comp-k55ov5z3"",""displayMode"":""fill""}"
The Dancing Bean,http://www.dancingbeanscoffee.com,,,,,
The Birdhouse,https://www.birdhouseslc.com/,,,,,https://www.toasttab.com/the-birdhouse/v2/online-order#!/
Metal Monkey Brewing,http://www.metalmonkeybrewing.com,,,,,
PaPPo's Pizzeria & Pub,http://www.papposbrewco.com/,,,,,
Good Bird,https://www.goodbirdnola.com,,,https://www.toasttab.com/good-bird-new-orleans/giftcards,,https://www.toasttab.com/good-bird-new-orleans/v2/online-order#!/
The Fairways at Deerwood,https://www.fairwaysatdeerwood.com/,,,,,
Doughby's Pizza and More,https://www.doughbyspizza.com,,,,,https://www.toasttab.com/doughbys-pizza-and-more/v2/online-order#!/order
Stir the Pot,http://www.stirthepot.restaurant/,,,,,
Seed Burger,http://www.seedburger.com,,,,,https://www.toasttab.com/seedburger/v2/online-order#!/
Pure Taqueria,https://www.puretaqueria.com/,,,https://www.toasttab.com/pure-taqueria-alpharetta/giftcards,https://www.toasttab.com/pure-taqueria-alpharetta/findcard,https://www.toasttab.com/locations/4878dcb2-f88a-4e9c-aa13-e6d9068b9f99#!/
Happy Endings Eatery Catering,http://www.happyendingseatery.com,,,,,https://www.toasttab.com/happy-endings-hospitality-catering/v2/online-order?fbclid=IwAR0BVlwJelWM9eY3Bhy7fZ1shJZXwo4dXESJvzA8Xay0UNM5ME5Ty6ehxXA#!/
Sol Liquor Lounge,http://www.solliquor.com,,,https://www.toasttab.com/solliquor/giftcards,,
Maggie's Cafe,https://maggiescafe2014.com/,https://www.toasttab.com/maggies-cafe-dxfia/rewards,https://www.toasttab.com/maggies-cafe-dxfia/rewardsSignup,,,https://www.toasttab.com/maggies-cafe-dxfia/v2/online-order#!/
Takee Outee,http://takeeouteemiami.com,,,,,
Uncle Bear's Brewery,http://www.unclebearsaz.com,,,https://www.toasttab.com/uncle-bears-grill-and-tap/giftcards,,
Droidcon Toast Café,http://pos.toasttab.com,,,,,
Baci Bistro,http://www.bacibistro.com,,,,,
Sugar n' Spice Diner,http://www.eatsugarnspice.com,,,https://www.toasttab.com/eatsugarnspice/giftcards,,
Richpond Market & Deli,http://www.richpondmarket.com,,,,,
Basil Pizzeria & Trattoria,http://www.get-basil.com,,,,,
BomBiscuit,http://www.bombiscuit.com,,,,,https://www.toasttab.com/bombiscuit/v2/online-order#!/order
HedgeHog Grill,http://www.hedgehoggrill.com,,,,,
Pomodoro's,http://www.Pomodorosny.com,,,,,
All About The Burgers,https://allabouttheburgers.com/,,,,,
New State Burgers & Spirits,http://www.newstateburgers.com,,,,,
The Hideawaygrille,http://www.hideawaygrille.com/,,,,,
Island City Brewing Company,http://islandcitybrew.com/,,,,,
Living Green Cafe,http://www.livinggreencafe.com,,,,,https://www.toasttab.com/living-green-cafe/v2/online-order#!/order
La Palapa Too,http://lapalapatoo.com,,,https://www.toasttab.com/lapalapatoo/giftcards,,https://www.toasttab.com/lapalapatoo/v2/online-order#!/order
Carib Shack,http://caribshack.biz,,,,,
V Bistro,https://www.vbistromn.com,,,,,
Cattle -n- Clover,http://www.cattlenclover.com,,,,,
Umi Sushi Kitchen,https://umispokane.com/,,,,,https://www.toasttab.com/umi-sushi-kitchen-1309-west-summit-parkway/v2/online-order#!/
Little Prince,https://littleprince.la/,,,https://www.toasttab.com/little-prince/giftcards,,
Gunwhale Ales,http://www.gunwhaleales.com,,,,,
Tinto & Tapas,http://www.tintoandtapas.com,,,,,
Blind Dragon,http://blinddragonla.com/,,,,,
Bodhi Federal Hill,https://bodhifedhill.com,,,https://www.toasttab.com/bodhi-fedhill/giftcards,,https://www.toasttab.com/bodhi-fedhill/v2/online-order#!/order
510 Johnny's,https://www.510johnnys.com/,,,,,
Red Face Jacks,http://www.redfacejacks.com,,,,,
Gustaly,https://www.gustaly.com,,,,,https://www.toasttab.com/gustaly/v2/online-order#!
